Category,Feature,Description,Suggested tier,Sell as,Notes
Sharing / access,Presenter share link (attribution),"?presenter= URL that attributes analytics",Team,Core,
Sharing / access,Custom share links / tokens,"One link per campaign / customer",Team,Premium,
Sharing / access,Embed on external site,"iframe or web-component embed",Solo Pro,Core,
Sharing / access,Custom domain,"Serve tours on the customer's own domain",Enterprise,Add-on,Add-on eligible
Sharing / access,Remove ""Powered by VPV"" watermark,"White-label the viewer",Solo Pro,Branding,Add-on eligible
Sharing / access,Full white-label (logo + colours),"Replace VPV branding with customer's brand",Enterprise,Branding,
Team & collaboration,Multi-user organization,"Org with roles (org_admin + presenters)",Team,Core,
Team & collaboration,Invite by email,"Send a temp-password invite",Team,Core,
Team & collaboration,Invite by one-time code,"7-day single-use signup code",Team,Core,
Team & collaboration,Tour assignment per presenter,"Grant/revoke access per user per tour",Team,Core,
Team & collaboration,Real-time collaborative editing,"Multiple editors on one tour, live",Enterprise,Premium,
Team & collaboration,Editor presence indicators,"See who else is editing right now",Enterprise,Premium,
Sales dashboard,Precise session tracking (session_id),"1 browser tab = 1 meeting; click-proof",Team,Core,
Sales dashboard,Unique meetings count (not views),"Different meetings / companies, not click spam",Team,Core,
Sales dashboard,Day-by-day activity,"Mon / Tue / … presentation buckets per member",Team,Premium,
Sales dashboard,Per-session start time + duration,"Exact clock time + minutes for every meeting",Team,Premium,
Sales dashboard,Scene-by-scene time,"How long the presenter spent on each scene",Team,Premium,
Sales dashboard,Hotspot clicks + hovers per session,"Named hotspots with mention counts",Team,Premium,
Sales dashboard,Real-time updates (no reload),"Realtime + polling refresh",Team,Premium,
Sales dashboard,Presenter presence status,"Online / idle / offline dots",Team,QOL,
Sales dashboard,Team analytics dashboard,"KPI tiles + member cards + drilldown modal",Team,Premium,
Sales dashboard,Insights (top presenter / idle / momentum / reach),"Rules-based team insights strip",Team,Premium,
Sales dashboard,Global KPIs (presentations / time / prospects / active),"Trended KPI hero tiles",Team,Premium,
Sales dashboard,Calendar / schedule,"Team meetings + assignments",Team,Core,
Sales dashboard,Working notifications bell,"Presenter went live + meeting reminders (realtime)",Team,Premium,
Advanced tracking,GPS location per presentation,"Captured on Present; reverse-geocoded place + map link",Team,Premium,
Advanced tracking,Auto voice recording (org toggle),"Records every presentation for AI analysis",Team,Premium,Add-on eligible
Advanced tracking,Live speech-to-text transcript,"Browser-native (free) captions of what the presenter said",Team,Premium,
Advanced tracking,AI topic detection,"Rules engine: sales / quotation / location / product / capacity / compliance",Team,Premium,
Advanced tracking,Full transcript view + audio playback,"Replayable per session in the drilldown",Team,Premium,
Advanced tracking,Recording indicator (red dot),"Presenter always knows they're being recorded",Team,Compliance,
Advanced tracking,Paid AI diarization + insights,"Speaker separation + LLM insights (AssemblyAI / Deepgram / OpenAI)",Add-on,Add-on,Requires paid API
Advanced tracking,AI conversation coaching,"Post-call scoring, objections, buying signals",Enterprise,Premium,Future
Presenter experience,My Tours dashboard,"Assigned tours in one place, quick-launch",Team,Core,
Presenter experience,One-click present in new tab,"Auto-attributed session with analytics",Team,Core,
Presenter experience,Copy customer share link,"For emailing after the meeting",Team,Core,
Presenter experience,Personal calendar,"Presenter sees only their assigned meetings",Team,QOL,
Offline mode,Pre-download tours for offline use,"Full offline playback: panoramas / hotspots / videos / audio / PDF",Team,Premium,
Offline mode,Offline analytics queue,"Events buffered, synced on reconnect",Team,Premium,
Offline mode,Offline cockpit (status pill + prep modal),"Presenter cockpit for prepping tours before travel",Team,Premium,
Backup / export,Full tour backup export (ZIP),"Download everything to a portable archive",Enterprise,Core,
Backup / export,Tour restore / import,"Load a backup back into the workspace",Enterprise,Core,
Storage & limits,Tour count limit,"Cap how many tours a plan can hold",Metered,Metered,See tier limits sheet
Storage & limits,Scene count per tour,"Cap scenes per tour",Metered,Metered,
Storage & limits,Storage GB,"Cap storage for photos / audio / video",Metered,Metered,
Storage & limits,Bandwidth per month,"Viewer bandwidth cap",Metered,Metered,
Storage & limits,Viewer count per month,"Cap unique visitors per month",Metered,Metered,
Storage & limits,Extra storage,"Add-on GB pack",Add-on,Add-on,
Storage & limits,Extra bandwidth,"Add-on bandwidth pack",Add-on,Add-on,
Support / services,Community / email support,"Basic support",Starter,Support,
Support / services,Priority support,"Faster response SLA",Team,Support,
Support / services,Dedicated success manager,"Named contact for onboarding + growth",Enterprise,Support,
Support / services,Onboarding / setup service,"We stitch and set up the first tour with you",Add-on,Services,High-margin
Support / services,Done-for-you tour production,"Full-service tour building",Add-on,Services,High-margin
Support / services,Training sessions,"Live training for the sales team",Add-on,Services,
Support / services,SLA (uptime + response),"Contractual guarantees",Enterprise,Support,
Support / services,Custom feature development,"Bespoke work on request",Enterprise,Services,
Security / compliance,Role-based access (owner / admin / presenter),"Built-in role model",Team,Compliance,
Security / compliance,Password-protected unlisted tours,"Gate a public link with a shared password",Solo Pro,Compliance,
Security / compliance,Recording consent indicator,"Legal signal to buyer that session is recorded",Team,Compliance,
Security / compliance,SSO (Google / Microsoft / SAML),"Single sign-on for enterprise",Enterprise,Compliance,Future
Security / compliance,Audit log,"Who did what and when",Enterprise,Compliance,Future
Security / compliance,Data residency options,"Choose region for storage",Enterprise,Compliance,Future
Future / roadmap,Dollhouse / mini-map,"Google-Earth-style overview of the tour",Team,Premium,Future
Future / roadmap,Spatial / positional audio,"Ambient audio that pans as you look around",Team,Premium,Future
Future / roadmap,Cinematic guided intro,"Auto establishing-shot on first load",Team,Premium,Future
Future / roadmap,VR headset mode,"WebXR playback on Quest / Vision Pro",Enterprise,Premium,Future
Future / roadmap,Share-a-moment link,"Share the exact scene + view angle",Team,Premium,Future
